序號,社福團體名稱,愛心碼,社福團體簡稱,社福團體統編,縣市
711,社團法人中華民國乳癌病友協會,528825,TBCA,14709716,臺北市
712,社團法人台灣盲人福利協進會全國總會,886,台灣盲總,52014167,臺中市
713,社團法人台灣社區健康及家庭關係促進協會,980712,社家協會,25614440,新北市
714,中華民國流浪動物花園協會,0528,動物花園,48870603,臺北市
715,財團法人瑞信兒童醫療基金會,2002,瑞信基金會,15745443,新北市
716,社團法人禾豐在地文化推廣交流協會,365885,在地天使會,37832667,新北市
717,社團法人台灣非營利事業經營管理協會,0220,NPO協會,25591538,臺北市
718,社團法人高雄市社福慈善團體聯合會,7881155,高市社慈,07881155,高雄市
719,財團法人臺灣省天主教會新竹教區,528,新竹教區,02859871,新竹市
720,財團法人臺中市私立信望愛智能發展中心,12345,信望愛中心,78949249,臺中市
721,財團法人花蓮縣私立慈惠愛心基金會,527,慈惠基金會,08151509,花蓮縣
722,財團法人臺北市喜樂家族社會福利基金會,5291,喜樂家族,31840958,臺北市
723,財團法人基督教愛網全人關懷社會福利慈善事業基金會,1720,愛網基金會,10065706,新北市
724,財團法人新北市私立榮光育幼院,4567988,榮光育幼院,18243394,新北市
725,財團法人周大觀文教基金會,525,周大觀,83336277,新北市
726,中華民國智障者家長總會,5000,智總,01013685,臺北市
727,社團法人台灣原聲教育協會,4568,原聲教協,45685626,南投縣
728,社團法人公民監督國會聯盟,113,公督盟,83865901,臺北市
729,財團法人私立西田社布袋戲基金會,1985,西田社,01045384,臺北市
730,社團法人中華民國道德重整協會,0707,道德重整,77121452,臺南市
731,台灣性別不明關懷協會,563,性別不明,38527089,臺北市
732,財團法人樹和教育基金會,005,,39881283,臺中市
733,財團法人台灣兒童暨家庭扶助基金會,68660,大同育幼院,73768660,新北市
734,財團法人桃園縣私立路得啟智學園,1000,路得啟智,95938610,桃園市
735,財團法人台灣基督教主愛之家輔導中心,580,主愛之家,08149639,花蓮縣
736,財團法人高雄市私立博正兒童發展中心,5586331,博正兒發,19883447,高雄市
737,財團法人台灣世界展望會,7000,世界展望會,04124664,
738,社團法人中華好家庭關懷協會,377168,好家庭,94997773,臺中市
739,社團法人屏東縣社會工作者協會,7364783,屏社協,10732449,屏東縣
740,財團法人新竹市私立天主教仁愛啟智中心,227,仁愛啟智,47347995,新竹市
741,社團法人宜蘭縣康復之友協會,1101,宜蘭康復,19608863,宜蘭縣
742,社團法人苗栗縣智障福利協進會,995995,苗栗智協,66832687,苗栗縣
743,社團法人中華民國梅門一氣流行養生學會,1760,梅門,15739940,臺北市
744,中華IPOWER關懷協會,7313,中華關懷,41498186,新北市
745,財團法人台中市私立宏源社會福利慈善事業基金會,5598,宏源基金會,45635598,臺中市
746,社團法人南投縣脊髓損傷者協會,945,,77393138,南投縣
747,財團法人慈愛動物福利基金會,4569,慈愛基金會,21943245,臺南市
748,社團法人高雄市傳愛協會,1780,傳愛協會,41279339,高雄市
749,彩色頁女性願景協會,1841,彩色頁,18415614,高雄市
750,恆基醫療財團法人恆春基督教醫院,8880064,恆基,20261946,屏東縣
751,基督教旌旗協會,3369,旌旗教會,95847148,臺中市
752,財團法人雙福社會福利慈善事業基金會,2002515,雙福基金會,14708759,臺北市
753,社團法人苗栗縣同心身心障礙服務協進會,482403,竹南同心,74872705,苗栗縣
754,財團法人地球公民基金會,8524,地球公民,26034595,高雄市
755,社團法人中華太乙金蓮丹鼎會,444,太乙金蓮,37932011,花蓮縣
756,社團法人台灣全民食物銀行協會,4545,全民食物,26887242,臺中市
757,台灣向日葵全人關懷協會,99365,向日葵協會,99356740,臺北市
758,財團法人天主教花蓮教區附設私立安德啟智中心,8861210,,08159636,花蓮縣
759,社團法人台灣關愛之家協會,25985,關愛之家,99340570,臺北市
760,社團法人臺南市以琳之家關懷協會,1010,以琳之家,34979759,臺南市
761,社團法人台中市脊髓損傷者協會,566,中市脊協,45695595,臺中市
762,財團法人廣青文教基金會,2581,廣青,00993161,臺北市
763,財團法人基督教臺北市私立伯大尼兒少家園,5200,伯大尼,05200479,臺北市
764,台灣雷射應用發展協會,2567,雷射協會,10791045,臺中市
765,松山慈惠堂,516888,松山慈惠堂,81581040,臺北市
766,社團法人台中市啟明重建福利協會,78585,,26875359,臺中市
767,中華民國大慈功德會,8812,大慈功德會,17607945,新北市
768,社團法人中華民國觀護協會,5688,觀護協會,83867859,臺北市
769,財團法人臺雅國際慈善基金會,095,臺雅國際,42439974,臺北市
770,藝術創作者職業工會,0219,藝創工會,26672798,臺北市
771,財團法人台灣兒童暨家庭扶助基金會高雄市北區分事務所,3100,北高雄家扶,07927217,高雄市
772,社團法人桃園縣智障者家長協會,3699135,桃智協,98230441,桃園市
773,社團法人新竹市智障福利協進會,6684,新竹智協,98275734,新竹市
774,社團法人臺東縣教育發展協會,513663,孩子的書屋,10409786,
775,社團法人台灣動物輔助活動及治療協會,916,台灣狗醫生,14293533,臺北市
776,財團法人中華民國唐氏症基金會,321,唐氏症,81598577,新北市
777,社團法人花蓮縣智障福利協進會,7756,花蓮智協,08149928,花蓮縣
778,財團法人花蓮縣私立美崙啟能發展中心,823,美崙啟能,19994083,花蓮縣
779,財團法人台中市私立龍眼林社會福利慈善事業基金會,185,龍眼林,45280110,臺中市
780,社團法人中華民國多加幸福婚姻促進協會,2080,多加幸福,95946457,新北市
781,財團法人台北市愛慈社會福利基金會,81852,愛慈基金會,17147725,臺北市
782,社團法人嘉義市正德護生慈善會,703,正德,14920703,嘉義市
783,沐風關懷協會,3450,沐風協會,21841802,臺中市
784,財團法人蘭智社會福利基金會,96588,蘭智基金會,09677593,宜蘭縣
785,財團法人台灣早產兒基金會,1117,,00979457,臺北市
786,新北市智障者家長協會,1688,新北智協,66929084,新北市
787,中華民國圓夢傳愛關懷協會,580085,580,37736263,臺南市
788,財團法人基督教惠明盲人福利會附設臺中縣私立惠明視障者,333333,惠明教養院,45749092,臺中市
789,社團法人中華慈雲慈善利生推廣協會,991010,慈雲慈善,26301038,臺北市
790,社團法人臺灣志工盟協會,1799082,志工盟,41337909,高雄市
791,社團法人苗栗縣康復之友協會,690846,康復之友,95851260,苗栗縣
